Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5303,935
3/27/2020,6246,943
3/28/2020,6900,654
3/29/2020,7423,523
3/30/2020,8661,1238
3/31/2020,9927,1266
4/1/2020,11265,1338
4/2/2020,12542,1277
4/3/2020,14022,1480
4/4/2020,15184,1162
4/5/2020,16161,977
4/6/2020,18092,1931
4/7/2020,20114,2022
4/8/2020,21978,1864
4/9/2020,23956,1978
4/10/2020,26011,2055
4/11/2020,27340,1329
4/12/2020,28270,930
4/13/2020,30256,1986
4/14/2020,33183,2927
4/15/2020,35724,2541
4/16/2020,38110,2386
4/17/2020,41100,2990
4/18/2020,42581,1481
4/19/2020,43670,1089
4/20/2020,46356,2686
4/21/2020,48543,2187
4/22/2020,51249,2706
4/23/2020,53655,2406
4/24/2020,55932,2277
4/25/2020,57426,1494
4/26/2020,58271,845
4/27/2020,60400,2129
4/28/2020,62504,2104
4/29/2020,64691,2187
4/30/2020,66738,2047
5/1/2020,68821,2083
5/2/2020,69850,1029
5/3/2020,70584,734
5/4/2020,72463,1879
5/5/2020,74199,1736
5/6/2020,75898,1699
5/7/2020,77577,1679
5/8/2020,79031,1454
5/9/2020,79715,684
5/10/2020,80100,385
5/11/2020,81406,1306
5/12/2020,82856,1450
5/13/2020,84170,1314
5/14/2020,85484,1314
5/15/2020,86588,1104
5/16/2020,87233,645
5/17/2020,87596,363
5/18/2020,88911,1315
5/19/2020,89984,1073
5/20/2020,90995,1011
5/21/2020,91961,966
5/22/2020,92825,864
5/23/2020,93213,388
5/24/2020,93515,302
5/25/2020,93713,198
5/26/2020,94577,864
5/27/2020,95264,687
5/28/2020,95904,640
5/29/2020,96434,530
5/30/2020,96705,271
5/31/2020,96866,161
6/1/2020,97374,508
6/2/2020,97820,446
6/3/2020,98280,460
6/4/2020,98659,379
6/5/2020,98997,338
6/6/2020,99146,149
6/7/2020,99297,151
6/8/2020,99652,355
6/9/2020,99997,345
6/10/2020,100256,259
6/11/2020,100482,226
6/12/2020,100737,255
6/13/2020,100834,97
6/14/2020,100911,77
6/15/2020,101146,235
6/16/2020,101344,198
6/17/2020,101593,249
6/18/2020,101834,241
6/19/2020,102009,175
6/20/2020,102102,93
6/21/2020,102181,79
6/22/2020,102406,225
6/23/2020,102595,189
6/24/2020,102806,211
6/25/2020,103012,206
6/26/2020,103210,198
6/27/2020,103344,134
6/28/2020,103415,71
6/29/2020,103619,204
6/30/2020,103840,221
7/1/2020,104058,218
7/2/2020,104283,225
7/3/2020,104381,98
7/4/2020,104441,60
7/5/2020,104542,101
7/6/2020,104781,239
7/7/2020,105023,242
7/8/2020,105238,215
7/9/2020,105493,255
7/10/2020,105721,228
7/11/2020,105838,117
7/12/2020,105925,87
7/13/2020,106192,267
7/14/2020,106424,232
7/15/2020,106722,298
7/16/2020,106966,244
7/17/2020,107193,227
7/18/2020,107321,128
7/19/2020,107395,74
7/20/2020,107674,279
7/21/2020,107930,256
7/22/2020,108188,258
7/23/2020,108447,259
7/24/2020,108705,258
7/25/2020,108865,160
7/26/2020,108966,101
7/27/2020,109327,361
7/28/2020,109647,320
7/29/2020,109966,319
7/30/2020,110303,337
7/31/2020,110622,319
8/1/2020,110769,147
8/2/2020,110879,110
8/3/2020,111238,359
8/4/2020,111546,308
8/5/2020,111878,332
8/6/2020,112232,354
8/7/2020,112532,300
8/8/2020,112700,168
8/9/2020,112785,85
8/10/2020,113158,373
8/11/2020,113442,284
8/12/2020,113747,305
8/13/2020,114096,349
8/14/2020,114438,342
8/15/2020,114589,151
8/16/2020,114709,120
8/17/2020,115078,369
8/18/2020,115460,382
8/19/2020,115798,338
8/20/2020,116154,356
8/21/2020,116437,283
8/22/2020,116586,149
8/23/2020,116679,93
8/24/2020,117075,396
8/25/2020,117456,381
8/26/2020,117835,379
8/27/2020,118180,345
8/28/2020,118547,367
8/29/2020,118719,172
8/30/2020,118859,140
8/31/2020,119296,437
9/1/2020,119691,395
9/2/2020,120075,384
9/3/2020,120539,464
9/4/2020,120888,349
9/5/2020,121086,198
9/6/2020,121199,113
9/7/2020,121360,161
9/8/2020,121906,546
9/9/2020,122381,475
9/10/2020,122788,407
9/11/2020,123197,409
9/12/2020,123387,190
9/13/2020,123548,161
9/14/2020,124050,502
9/15/2020,124471,421
9/16/2020,124885,414
9/17/2020,125238,353
9/18/2020,125673,435
9/19/2020,125873,200
9/20/2020,126015,142
9/21/2020,126442,427
9/22/2020,126950,508
9/23/2020,127509,559
9/24/2020,128106,597
9/25/2020,128657,551
9/26/2020,129021,364
9/27/2020,129245,224
9/28/2020,130112,867
9/29/2020,130828,716
9/30/2020,131437,609
10/1/2020,132116,679
10/2/2020,132682,566
10/3/2020,133090,408
10/4/2020,133382,292
10/5/2020,134131,749
10/6/2020,134867,736
10/7/2020,135587,720
10/8/2020,136418,831
10/9/2020,137105,687
10/10/2020,137516,411
10/11/2020,137776,260
10/12/2020,138370,594
10/13/2020,139158,788
10/14/2020,140049,891
10/15/2020,140989,940
10/16/2020,141850,861
10/17/2020,142389,539
10/18/2020,142714,325
10/19/2020,143761,1047
10/20/2020,144814,1053
10/21/2020,145873,1059
10/22/2020,147247,1374
10/23/2020,148436,1189
10/24/2020,149199,763
10/25/2020,149613,414
10/26/2020,150781,1168
10/27/2020,151481,700
10/28/2020,151741,260
10/29/2020,151741,0
