Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,Antigen Positive New,Antigen New,Antigen Total
1/22/2020,1,1,0,,0,0,0,1,0,1,0,0,0,0
1/23/2020,2,1,0,,0,0,0,1,0,1,0,0,0,0
1/24/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0,1,0,0,0,0
1/28/2020,3,0,0,,0,0,0,0,0,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0,1,1,0,0,0
1/30/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0,3,0,0,0,0
2/4/2020,9,2,0,,0,0,0,2,0,2,0,0,0,0
2/5/2020,9,0,0,,0,0,0,0,0,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0,1,1,0,0,0
2/7/2020,10,0,0,,0,0,0,0,0,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0,1,0,0,0,0
2/9/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1,1,1,0,0,0
2/11/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/12/2020,12,1,0,,0,0,0,1,0,1,0,0,0,0
2/13/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/14/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/15/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/16/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/17/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/18/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/19/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/20/2020,13,1,0,,0,0,0,1,1,2,1,0,0,0
2/21/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/22/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/23/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/24/2020,13,0,0,,0,0,0,0,2,2,1,0,0,0
2/25/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/26/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/27/2020,14,1,0,,0,0,0,1,0,1,0,0,0,0
2/28/2020,14,0,0,,0,0,0,0,2,2,1,0,0,0
2/29/2020,15,1,0,,0,0,0,1,0,1,0,0,0,0
3/1/2020,17,2,1,,0,0,0,2,2,4,1,0,0,0
3/2/2020,20,3,0,,0,0,0,3,3,6,1,0,0,0
3/3/2020,34,14,1,,1,1,0,14,1,15,1,0,0,0
3/4/2020,53,19,2,,1,0,0,19,3,22,2,0,0,0
3/5/2020,85,32,8,,1,0,0,33,3,36,8,0,0,0
3/6/2020,123,38,14,,1,0,0,42,7,49,14,0,0,0
3/7/2020,207,84,44,,1,0,0,86,14,100,44,0,0,0
3/8/2020,262,55,19,,1,0,0,54,7,61,20,0,0,0
3/9/2020,333,71,5,,1,0,0,76,5,81,7,0,0,0
3/10/2020,437,104,14,,1,0,0,103,6,109,14,0,0,0
3/11/2020,608,171,22,,1,0,0,176,6,182,23,0,0,0
3/12/2020,1023,415,29,,1,0,0,424,7,431,29,0,0,0
3/13/2020,1959,936,61,,1,0,0,970,14,984,64,0,0,0
3/14/2020,2852,893,73,,1,0,0,920,15,935,74,0,0,0
3/15/2020,3873,1021,68,,1,0,0,1058,27,1085,72,0,0,0
3/16/2020,6002,2129,150,,1,0,0,2218,18,2236,152,0,0,0
3/17/2020,8665,2663,249,,1,0,0,2760,28,2788,255,0,0,0
3/18/2020,11624,2959,259,,1,0,0,3071,156,3227,263,0,0,0
3/19/2020,14507,2883,278,,1,0,0,2995,142,3137,286,0,0,0
3/20/2020,18132,3625,388,,1,0,0,3755,124,3879,394,0,0,0
3/21/2020,20653,2521,322,,1,0,0,2604,168,2772,340,0,0,0
3/22/2020,22535,1882,286,,1,0,0,1941,160,2101,298,0,0,0
3/23/2020,26289,3754,609,,1,0,0,3894,202,4096,632,0,0,0
3/24/2020,30251,3962,718,,1,0,0,4111,208,4319,738,0,0,0
3/25/2020,34320,4069,746,,1,0,0,4212,269,4481,792,0,0,0
3/26/2020,38703,4383,935,,1,0,0,4540,299,4839,984,0,0,0
3/27/2020,43036,4333,943,,1,0,0,4470,344,4814,1007,0,0,0
3/28/2020,45817,2781,654,,1,0,0,2868,332,3200,704,0,0,0
3/29/2020,47874,2057,523,,1,0,0,2155,318,2473,576,0,0,0
3/30/2020,52881,5007,1238,,1,0,0,5164,416,5580,1317,0,0,0
3/31/2020,58096,5215,1266,,1,0,0,5460,471,5931,1403,0,0,0
4/1/2020,62989,4893,1338,,1,0,0,5114,465,5579,1425,0,0,0
4/2/2020,68157,5168,1277,,4,3,1,5408,596,6004,1403,0,0,0
4/3/2020,73856,5699,1480,,4,0,0,5939,629,6568,1625,0,0,0
4/4/2020,77812,3956,1162,,8,4,1,4054,690,4744,1322,0,0,0
4/5/2020,81203,3391,977,,8,0,0,3565,540,4105,1078,0,0,0
4/6/2020,87777,6574,1931,,12,4,0,6798,783,7581,2100,0,0,0
4/7/2020,94281,6504,2022,,16,4,0,6655,967,7622,2241,0,0,0
4/8/2020,101010,6729,1864,,18,2,0,6972,983,7955,2107,0,0,0
4/9/2020,107357,6347,1978,,40,22,2,6728,1042,7770,2276,0,0,0
4/10/2020,114862,7505,2055,,41,1,1,7784,1063,8847,2315,0,0,0
4/11/2020,119280,4418,1329,,42,1,0,4591,817,5408,1506,0,0,0
4/12/2020,122237,2957,930,,45,3,2,3055,720,3775,1073,0,0,0
4/13/2020,128318,6081,1986,,53,8,0,6212,1148,7360,2231,0,0,0
4/14/2020,138153,9835,2927,,61,8,2,10031,1510,11541,3271,0,0,0
4/15/2020,147777,9624,2541,,71,10,2,9983,1472,11455,2854,0,0,0
4/16/2020,156570,8793,2386,,92,21,0,8946,1756,10702,2797,0,0,0
4/17/2020,167409,10839,2990,,171,79,5,11275,1851,13126,3323,0,0,0
4/18/2020,173348,5939,1481,,179,8,3,6305,1173,7478,1708,1,1,1
4/19/2020,177894,4546,1089,,189,10,1,4659,945,5604,1267,0,0,1
4/20/2020,188503,10609,2686,,252,63,6,10994,1978,12972,3109,0,0,1
4/21/2020,197831,9328,2187,,327,75,11,9642,2183,11825,2711,0,0,1
4/22/2020,210112,12281,2706,,473,146,17,12641,2758,15399,3230,0,0,1
4/23/2020,220781,10669,2406,,945,472,30,10841,2587,13428,2933,0,0,1
4/24/2020,233014,12233,2277,,1843,898,82,12344,2557,14901,2816,0,0,1
4/25/2020,241109,8095,1494,,2330,487,25,8399,1868,10267,1830,0,0,1
4/26/2020,245937,4828,845,,2785,455,36,4774,1433,6207,1166,0,0,1
4/27/2020,256784,10847,2129,,3925,1140,79,10819,2976,13795,2770,0,0,1
4/28/2020,268903,12119,2104,,5344,1419,83,12233,3045,15278,2767,0,0,1
4/29/2020,281390,12487,2187,,7047,1703,105,12556,2959,15515,2825,0,0,1
4/30/2020,295007,13617,2047,,8421,1374,116,13710,3184,16894,2705,0,0,1
5/1/2020,308932,13925,2083,,10195,1774,130,13961,3336,17297,2732,0,0,1
5/2/2020,316105,7173,1029,,10790,595,57,7291,1914,9205,1412,0,0,1
5/3/2020,321153,5048,734,,11194,404,42,5033,1439,6472,1001,0,1,2
5/4/2020,333000,11847,1879,,13211,2017,162,11812,3634,15446,2710,0,0,2
5/5/2020,345419,12419,1736,,15186,1975,157,12353,3675,16028,2507,0,1,3
5/6/2020,358562,13143,1699,,17162,1976,183,13041,3655,16696,2484,0,0,3
5/7/2020,371883,13321,1679,,19229,2067,173,13396,3731,17127,2469,0,0,3
5/8/2020,385000,13117,1454,,21113,1884,136,13180,3778,16958,2224,0,0,3
5/9/2020,390781,5781,684,,21740,627,38,5715,2001,7716,1025,0,0,3
5/10/2020,393907,3126,385,,22094,354,77,3069,1492,4561,674,0,0,3
5/11/2020,405564,11657,1306,,23931,1837,161,11577,4072,15649,2124,0,0,3
5/12/2020,418707,13143,1450,,25800,1869,148,13038,4334,17372,2271,0,0,3
5/13/2020,432543,13836,1314,,27618,1818,178,13731,4196,17927,2112,1,1,4
5/14/2020,445784,13241,1314,,29295,1677,164,13141,4243,17384,2084,0,0,4
5/15/2020,459475,13691,1104,,30908,1613,141,13586,4239,17825,1852,0,0,4
5/16/2020,466515,7040,645,,31442,534,50,6956,2389,9345,1033,1,1,5
5/17/2020,470783,4268,363,115,31800,358,54,4227,1636,5863,598,3,3,8
5/18/2020,484066,13283,1315,1,33428,1628,137,13142,4471,17613,2144,1,1,9
5/19/2020,496288,12222,1073,0,35133,1705,164,12168,4526,16694,1860,16,82,91
5/20/2020,509029,12741,1011,0,36993,1860,149,12584,4337,16921,1678,12,100,191
5/21/2020,520634,11605,966,0,38697,1704,193,11520,4438,15958,1670,19,281,472
5/22/2020,531580,10946,864,0,40340,1643,158,10839,3974,14813,1504,10,213,685
5/23/2020,536501,4921,388,0,40761,421,41,4892,1823,6715,628,16,196,881
5/24/2020,540572,4071,302,0,41074,313,40,4022,1543,5565,509,15,204,1085
5/25/2020,543655,3083,198,0,41403,329,49,3075,1492,4567,382,20,234,1319
